date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:47	150/150	---M-Z	200	added ('OK')	text/plain	date:Thu,%2023%20Jul%202026%2013:27:46%20GMT	https://Ultrawavetrd.live/robots.txt		(from )
14:27:48	292316/292316	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jul%202026%2013:27:47%20GMT	https://Ultrawavetrd.live/	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/index.html	(from )
14:27:49	2121/2121	---M-Z	200	added ('OK')	application/json	date:Thu,%2023%20Jul%202026%2013:27:49%20GMT	https://Ultrawavetrd.live/wp-json/oembed/1.0/embed?url=https%3A%2F%2FUltrawavetrd.live%2F	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/wp-json/oembed/1.0/embedba88.json	(from https://Ultrawavetrd.live/)
14:27:49	1095/1095	---M-Z	200	added ('OK')	application/rss+xml	etag:%2216658b28feeeb7ea97ddf2bab7399191%22	https://Ultrawavetrd.live/feed/	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/feed/index.html	(from https://Ultrawavetrd.live/)
14:27:50	769/769	---M-Z	200	added ('OK')	application/rss+xml	etag:%2216658b28feeeb7ea97ddf2bab7399191%22	https://Ultrawavetrd.live/comments/feed/	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/comments/feed/index.html	(from https://Ultrawavetrd.live/)
14:27:51	2275/2275	---M-Z	200	added ('OK')	text/xml	date:Thu,%2023%20Jul%202026%2013:27:51%20GMT	https://Ultrawavetrd.live/wp-json/oembed/1.0/embed?url=https%3A%2F%2FUltrawavetrd.live%2F&format=xml	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/wp-json/oembed/1.0/embedc65b	(from https://Ultrawavetrd.live/)
14:27:51	5436/5436	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Jul%202026%2000:35:36%20GMT	https://Ultrawavetrd.live/wp-content/cache/wpo-minify/1784334304/assets/wpo-minify-header-hello-elementor1774349705.min.css	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/wp-content/cache/wpo-minify/1784334304/assets/wpo-minify-header-hello-elementor1774349705.min.css	(from https://Ultrawavetrd.live/)
14:27:51	5096/5096	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Jul%202026%2000:35:36%20GMT	https://Ultrawavetrd.live/wp-content/cache/wpo-minify/1784334304/assets/wpo-minify-header-hello-elementor-theme-style1774349705.min.css	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/wp-content/cache/wpo-minify/1784334304/assets/wpo-minify-header-hello-elementor-theme-style1774349705.min.css	(from https://Ultrawavetrd.live/)
14:27:51	7183/7183	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Jul%202026%2000:35:36%20GMT	https://Ultrawavetrd.live/wp-content/cache/wpo-minify/1784334304/assets/wpo-minify-header-hello-elementor-header-footer1774349705.min.css	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/wp-content/cache/wpo-minify/1784334304/assets/wpo-minify-header-hello-elementor-header-footer1774349705.min.css	(from https://Ultrawavetrd.live/)
14:27:52	54666/54666	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Mar%202026%2010:54:23%20GMT	https://Ultrawavetrd.live/wp-content/plugins/elementor/assets/css/frontend.min.css	C:/My%20Web%20Sites/finvora/Ultrawavetrd.live/wp-content/plugins/elementor/assets/css/frontend.min.css	(from https://Ultrawavetrd.live/)
